"Key","SourceString",""
"Dlg_355D5C73.DisplayName","Start",""
"Dlg_FE7A0039.DisplayName","Library",""
"Dlg_2A35CD7A.DisplayName","General Store",""
"Dlg_5BF5F3D9.DisplayName","Apothecary",""
"Dlg_62DCAD01.DisplayName","Seamstress",""
"Dlg_764B56DF.DisplayName","Lumberyard",""
"Dlg_E88F82FF.DisplayName","Forest",""
"Dlg_44C4F264.DisplayName","Lumberyard 2",""
"Dlg_2B92A7CC.DisplayName","School",""
"Dlg_0C808EBC.DisplayName","Town Hall",""
"Dlg_48B8A2E3.DisplayName","Day 2",""
"Dlg_FDB7CDA6.DisplayName","School 2",""
"Dlg_04E78F09.DisplayName","Lumberyard 3",""
"Dlg_A8E001B1.DisplayName","Forest 2",""
"Dlg_D033529B.DisplayName","Lumberyard 4",""
"Dlg_6E9579A0.DisplayName","Inn",""
"Dlg_2A60CF43.DisplayName","Town Hall 2",""
"Dlg_FA83D7DD.DisplayName","Day 3",""
"Dlg_CF4E0BBA.DisplayName","General Store 2",""
"Dlg_6B0A67AB.DisplayName","Apothecary 2",""
"Dlg_16D97FF2.DisplayName","Carpenter",""
"Dlg_FF9F2E9C.DisplayName","Lumberyard 5",""
"Dlg_50C6EE2F.DisplayName","Town Hall 3",""
"DFr_E70F6DF9.Text","It’s yet another day in Petrichoria.",""
"DFr_D2A6354B.Text","I love this town, I really do. It’s just... Sometimes the days feel... Monotonous.",""
"DFr_7614FD52.Text","Get up, get dressed, grab the mail from the front door.",""
"DFr_C73DEFBF.Text","Then I head to the inn.",""
"DFr_258E7FF2.Text","Fine, you win. What am I having for breakfast?",""
"DFr_5A21CF4E.Text","Pie.",""
"DFr_9F8D6AE3.Text","Pie?",""
"DFr_174B126A.Text","Pie. You can carry them with you. Take 4. Eat one now while I’m watching. Eat the rest as you do your deliveries.",""
"DFr_0081BBB5.Text","Yana... That’s too much.",""
"DFr_87DF37CA.Text","Nonsense, uso. Take them.",""
"DFr_C1E1346E.Text","Okay, fine. But take your mail so I have room for them.",""
"DFr_02940A58.Text","Give it here.",""
"DFr_0389D4A7.Text","Yana... I think I would be fine with 1.",""
"DFr_6D259A35.Text","Nonsense, uso. You don’t eat enough. Take all 4 and give me my mail.",""
"DFr_20F0EA84.Text","Okay, fine. I know better than to argue with you. Here is your mail.",""
"DFr_4AD4ECEC.Text","Thank you. Now shoo. Go get your work done so you can rest.",""
"DFr_8E081568.Text","Fortunately, everyone is pretty close by so delivering their mail doesn’t take too long. My next stop is to see Rin at the Library. I have a couple of books that Rin ordered and I’m sure they’ll be happy to get them",""
"DFr_76EDA43C.Text","Deliveries have been taking longer and longer to get to us since we lost Esben. People are less interested in coming to our town for longer than it takes to get from our docks to the road back to Cidal.",""
"DFr_AFAC13E8.Text","Yana makes the most incredible food but that’s not the most magical thing about her.",""
"DFr_28525AAC.Text","How does she get up before everyone and stay up later than everyone?",""
"DFr_E658BCAD.Text","The Inn is never closed. There’s always food ready. That’s the real magic.",""
"DFr_31B9D512.Text","Yana, I have your mail for you.",""
"DFr_FDF6376A.Text","I won’t accept that until you’ve eaten, Opal. You’re turning into your mother.",""
"DFr_98F246F8.Text","What’s that supposed to mean?",""
"DFr_0DF2C0E1.Text","You work too much, uso. Eat first. Work comes later.",""
"DFr_809422F7.Text","Here. Take these pies. You can eat one now and have some later.",""
"DFr_4FA5E362.Text","Of course, uso! How much time do you have?",""
"DFr_B3D97892.Text","Not a lot. Some time sensitive things to deliver today.",""
"DFr_92A539DA.Text","Yana tell me you have something delicious for me today.",""
"DFr_A961F0A8.Text","I have your books for you!",""
"DFr_A5C1EEEE.Text","Not a chance. You know as well as I do that he loves Diora and Meriko more than he could ever love the ocean. I think he just wants to take them both out on an adventure, but Meriko gets so sea sick.",""
"DFr_78CB412D.Text","She’s such an odd one. Really good at making a distraction in a pinch, though.",""
"DFr_CDCF6D5D.Text","Don’t I know it. I’ve used her skills more than once to duck out of an awkward conversation with your mother.",""
"DFr_A1A924F8.Text","Haven’t we all. What’s next?",""
"DFr_DA485E74.Text","Diora ordered Advanced Weaving Techniques. Rumour has it that she’s going to try her hand at weaving some complex fabric for a gown. I wonder if she’s applying to that fashion show again.",""
"DFr_E26133DD.Text","Wasn’t she rejected last year because her designs were “too colourful” for the all-mighty fashionistas of Dalo?",""
"DFr_AA59FCF5.Text","There’s no reasoning with her. Thank you, Rin.",""
"DFr_7E3758CD.Text","Dalo is as colourful as it is fun. Which is to say, it’s neither. All white-washed stones and straight edges...",""
"DFr_E04F2739.Text","Can’t feel the earth beneath your feet. I hope she doesn’t let it change the way she designs. Her garments are beautiful.",""
"DFr_0045AADA.Text","Everyone in Dalo could learn a thing or two from her. Speaking of town fashionistas, what do you have for Eriato?",""
"DFr_1CA50595.Text","Letting Go: A Guide to Organizing. I don’t know why he keeps doing this to himself. You know just as well as I do that he can’t let go of anything. I’m pretty sure his house is just every “phase” he’s ever had in various corners.",""
"DFr_BD3E2DAD.Text","Eriato is a lot of things but a quitter is never one of them. That includes giving up any of his past phases and admitting he’s grown out of them.",""
"DFr_AA7CDE53.Text","We love him, even if he’s a bit… much. And last, but certainly not least, for my love Kauma. She’s still trying to find a cure to the blight. She’s ordered yet another biology textbook.",""
"DFr_396015E2.Text","I’m pretty sure she has this one already but she can’t find it. If you’d ever seen the inside of her home office, you’d know why.",""
"DFr_54DB39F7.Text","You could help her find it and keep this one in the library?",""
"DFr_46639C14.Text","And touch her “organized chaos?” No, thank you. I would like to keep all of my limbs attached and not used for kindling.",""
"DFr_26B8C12F.Text","If you could just bring her this copy of Kairithian Biology: Advanced Medical Text for the Modern Age, I (and my limbs) would greatly appreciate it.",""
"DFr_3267F8BA.Text","Anything for you, Rin.",""
"DFr_AC856C11.Text","Ah, if it isn’t my favourite sentence to hear at the start of my day. Which ones have come in?",""
"DFr_6B145052.Text","I’m not sure. They all came bundled together and I didn’t dare deprive you of the joy of opening that package.",""
"DFr_9B3134B9.Text","You’re the best, Ope. Let me see what we have.",""
"DFr_C80567BA.Text","Oh now this is exciting. It’s a mix of books I ordered for the library and books I ordered for Kauma, Diora, Arecho, and Eriato. You wouldn’t mind delivering these to them, since they’re on your route, would you?",""
"DFr_89A29194.Text","Anything for my favourite Spriggan. What am I delivering?",""
"DFr_6141BA24.Text","You’re truly the brightest gem in this whole jade forest.",""
"DFr_32A67AB7.Text","So this one, Tacks, Clips, and Scurvy: A Sailor’s Lament, is for Arecho but Diora ordered it as a surprise. She noticed he’s been looking longingly at the water again and she thinks he’s missing sailing.",""
"DFr_7245D029.Text","Of course, of course. What is it this time?",""
"DFr_F1E1A938.Text","Your mother’s latest romance book was just checked back in. In Defense of Love Potions.",""
"DFr_D892C8AE.Text","Got it, I’ll set that at the bottom of my bag so no one sees it.",""
"DFr_4E8F1122.Text","The mention of Jade makes my heart ache, but I smile and wait for the list.",""
"DFr_5D423D30.Text","She could just... Come in and get it but you know how she is.",""
"DFr_58D8C531.Text","My mother’s love of romance books is the worst kept secret in Petrichoria, but everyone in town pretends they don’t know.",""
"DFr_AED9AE36.Text","Do you think he’d ever go back?",""
"DFr_D8AC6CF9.Text","Just the you-know-what for you-know-who.",""
"DFr_4E1F2101.Text","You got anything you need me to pick up?",""
"DFr_E50295AE.Text","Good Morning Rin!",""
"DFr_88AF74D2.Text","I always enjoy our chats, Rin. I have to get going to my other deliveries.",""
"DFr_AF613A4A.Text","Go soak up some sun for me.",""
"DFr_C6A23EBA.Text","Good morning Eri!",""
"DFr_1E8FFA75.Text","Oh if it isn’t the most delightful sight for my poorly rested eyes.",""
"DFr_D3D3753C.Text","Poorly rested? How much sleep did you get last night?",""
"DFr_8A74DC5A.Text","I only slept for 10 hours. Honestly I had the worst time getting up this morning. Tell me you have something to brighten my day, my iridescent little friend.",""
"DFr_9A3774D4.Text","As a matter of fact, I do. Here are this month’s fashion catalogues from Dalo and Rin asked me to deliver this copy of Letting Go: A Guide to Organizing that you’d ordered.",""
"DFr_4F245F9D.Text","Oh they do listen to me so well. Did they happen to tell you that I’m planning to follow Zari Bandoo’s lifestyle guides on decluttering?",""
"DFr_62AFB95B.Text","They did mention that, yes.",""
"DFr_2090CE1F.Text","Why do you look so skeptical, my dear.",""
"DFr_2954612F.Text","Eriato... My good friend... When was the last time you actually parted with an article of clothing?",""
"DFr_0B56FC63.Text","Well... Never but that’s not the point. I’m turning over a new wing, so to speak.",""
"DFr_4416AB10.Text","And why are you doing that?",""
"DFr_957FAD29.Text","...",""
"DFr_65AC13C7.Text","...",""
"DFr_AE1E3806.Text","Saoirse is refusing to add another room to my house. She said it’s a “waste of resources.”",""
"DFr_3B08FC94.Text","Ah. Now I understand. Well, I wish you the best of luck. I have to finish up my deliveries, unless you have anything you need me to take?",""
"DFr_ED715AD0.Text","Saoirse is refusing to add another room to my house. She said it’s a “waste of resources.”",""
"DFr_46DA651E.Text","No. The only order I have was from Telu and that’s one delivery I don’t mind making myself.",""
"DFr_D6DB13DA.Text","Good morning Kauma!",""
"DFr_E772B5DC.Text","...",""
"DFr_48DF1A72.Text","Kauma?",""
"DFr_0BD1B3D4.Text","Hmm… I don’t think she’s here.",""
"DFr_036CD42C.Text","Usually she’s either at her desk or in Bella’s pen, but she’s not at her desk.",""
"DFr_6DD2D899.Text","Hmm... She’s not in here either.",""
"DFr_E1DEE759.Text","Kauma! I’m leaving these here on your desk!",""
"DFr_D595FBAF.Text","Kauma?!?",""
"DFr_0BCE3A3C.Text","Oh! Give me a moment!",""
"DFr_259A4135.Text","It’s Opal! I’m here to deliver the mail!",""
"DFr_243E6C35.Text","Who’s here?",""
